"E-Value";"Positives %";"Identities %";"Score (bits)";"Score";"Length";"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"1.0";"30.2";"19.0";"31.187";"69.0";"611";"CHEMBL3308928";"Eukaryotic translation initiation factor 4B";"P23588";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"0.2";"38.5";"18.0";"33.4982";"75.0";"559";"CHEMBL4295801";"Protein ENL";"Q03111";"SINGLE PROTEIN";"Homo sapiens";"57";"112";"9606";"False"
"1e-05";"40.0";"32.4";"46.9802";"110.0";"414";"CHEMBL2362981";"TAR DNA-binding protein 43";"Q13148";"SINGLE PROTEIN";"Homo sapiens";"39975";"40111";"9606";"False"
"0.0039";"40.6";"23.3";"39.2762";"90.0";"2540";"CHEMBL3792271";"Probable JmjC domain-containing histone demethylation protein 2C";"Q15652";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"5.7e-22";"42.6";"34.1";"99.3673";"246.0";"2364";"CHEMBL4295716";"Aggrecan core protein";"P13608";"SINGLE PROTEIN";"Bos taurus";"13";"25";"9913";"False"
"0.013";"31.1";"19.1";"37.3502";"85.0";"674";"CHEMBL4630805";"Protein phosphatase 1 regulatory subunit 15A";"O75807";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"1.7";"34.0";"26.0";"30.4166";"67.0";"483";"CHEMBL2366565";"Glycogen synthase kinase-3";"B2LUN4|I6LNT8";"PROTEIN FAMILY";"Sus scrofa";"742";"787";"9823";"False"
"4.5e-08";"40.0";"25.2";"54.6842";"130.0";"517";"CHEMBL3137287";"EZH1/SUZ12/EED/AEBP2/RBBP4 complex";"Q92800|O75530|Q15022|Q6ZN18|Q09028";"PROTEIN COMPLEX";"Homo sapiens";"29";"29";"9606";"False"
"0.47";"46.2";"30.8";"32.3426";"72.0";"745";"CHEMBL4296306";"Heat-shock protein";"Q25869";"SINGLE PROTEIN";"Plasmodium falciparum";"3";"3";"5833";"False"
"0.00087";"40.3";"20.1";"40.817";"94.0";"386";"CHEMBL1795089";"Latent membrane protein 1";"P03230";"SINGLE PROTEIN";"Human herpesvirus 4 (strain B95-8)";"464";"726";"10377";"False"
"9.6";"35.2";"19.0";"28.1054";"61.0";"709";"CHEMBL2097161";"Phosphodiesterase, PDE1/PDE5";"O76074|P54750|Q01064|Q14123";"PROTEIN FAMILY";"Homo sapiens";"93";"107";"9606";"False"
"1.6e-06";"40.6";"26.9";"50.0618";"118.0";"938";"CHEMBL4105782";"ATP-dependent RNA helicase DDX42";"Q86XP3";"SINGLE PROTEIN";"Homo sapiens";"198";"198";"9606";"False"
"2.4e-19";"41.4";"11.1";"90.8929";"224.0";"1060";"CHEMBL4105902";"Trans-sialidase";"Q26964";"SINGLE PROTEIN";"Trypanosoma cruzi";"42";"45";"5693";"False"
"1.7";"34.0";"26.0";"30.4166";"67.0";"483";"CHEMBL4295554";"Glycogen synthase kinase 3 alpha";"I6LNT8";"SINGLE PROTEIN";"Sus scrofa";"4";"4";"9823";"False"
"5e-18";"37.2";"20.0";"86.6557";"213.0";"915";"CHEMBL2366451";"Chitinase A1";"M5BZV0";"SINGLE PROTEIN";"Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettucebottom rot fungus) (Rhizoctonia solani)";"1";"1";"1108050";"False"
"9.6e-14";"41.0";"18.6";"73.559";"179.0";"5596";"CHEMBL4105779";"Midasin";"Q9NU22";"SINGLE PROTEIN";"Homo sapiens";"237";"237";"9606";"False"
"1.2e-06";"36.1";"23.2";"50.447";"119.0";"1089";"CHEMBL1741163";"ORF 73";"O40947";"SINGLE PROTEIN";"Human herpesvirus 8";"268";"309";"37296";"False"
"2.0";"44.8";"22.4";"30.4166";"67.0";"1398";"CHEMBL1741266";"DNA topoisomerase 2";"P41001";"SINGLE PROTEIN";"Plasmodium falciparum K1";"12";"12";"5839";"False"
"9.6";"35.2";"19.0";"28.1054";"61.0";"709";"CHEMBL2363066";"3',5'-cyclic phosphodiesterase";"O76074|P27815|Q14432|Q13956|P18545|O00408|Q13946|P54750|O76083|P35913|Q08499|Q07343|O43924|P16499|Q13370|P51160|O95263|Q9Y233|Q01064|Q08493|Q14123|O60658|Q9NP56";"PROTEIN FAMILY";"Homo sapiens";"1";"1";"9606";"False"
"0.0005";"36.2";"19.5";"41.9726";"97.0";"825";"CHEMBL4296007";"Heterogeneous nuclear ribonucleoprotein U";"Q00839";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"5e-21";"38.7";"20.5";"96.2857";"238.0";"1465";"CHEMBL4295890";"Histone acetyltransferase GCN5";"Q8IB67";"SINGLE PROTEIN";"Plasmodium falciparum (isolate 3D7)";"2";"3";"36329";"False"
"4.5";"36.7";"18.0";"29.261";"64.0";"1220";"CHEMBL4105852";"Eukaryotic translation initiation factor 5B";"O60841";"SINGLE PROTEIN";"Homo sapiens";"170";"170";"9606";"False"
"3.4";"44.0";"20.0";"29.6462";"65.0";"1298";"CHEMBL3885593";"Histone-lysine N-methyltransferase EHMT1/EHMT2";"Q9H9B1|Q96KQ7";"PROTEIN FAMILY";"Homo sapiens";"7";"8";"9606";"False"
"0.00015";"36.7";"18.9";"43.8986";"102.0";"2431";"CHEMBL3038516";"TPR/MET fusion protein";"P16056|F6ZDS4";"CHIMERIC PROTEIN";"Mus musculus";"23";"51";"10090";"False"
"4.5";"41.2";"21.0";"29.261";"64.0";"1512";"CHEMBL4630753";"Cyclin-dependent kinase 12/13";"Q14004|Q9NYV4";"PROTEIN FAMILY";"Homo sapiens";"23";"34";"9606";"False"
"3.1";"38.5";"26.2";"29.6462";"65.0";"561";"CHEMBL2094111";"Adrenergic receptor alpha";"P15823|P23944|P43140|P22086|P19328|P22909";"PROTEIN FAMILY";"Rattus norvegicus";"666";"950";"10116";"False"
"0.12";"40.0";"22.4";"34.2686";"77.0";"785";"CHEMBL6103";"Transcription factor Sp1";"P08047";"SINGLE PROTEIN";"Homo sapiens";"37";"37";"9606";"False"
"4.3e-05";"51.9";"27.8";"45.4394";"106.0";"939";"CHEMBL1250370";"Protease, putative";"Q8I1Y2";"SINGLE PROTEIN";"Plasmodium falciparum 3D7";"6";"11";"36329";"False"
"9.0";"32.6";"24.2";"28.1054";"61.0";"483";"CHEMBL2095188";"Glycogen synthase kinase-3";"P49840|P49841";"PROTEIN FAMILY";"Homo sapiens";"652";"716";"9606";"False"
"9.6";"35.2";"19.0";"28.1054";"61.0";"709";"CHEMBL2095150";"Phosphodiesterase 1";"P54750|Q01064|Q14123";"PROTEIN FAMILY";"Homo sapiens";"467";"664";"9606";"False"
"9.6";"35.2";"19.0";"28.1054";"61.0";"709";"CHEMBL4619";"Phosphodiesterase 1C";"Q14123";"SINGLE PROTEIN";"Homo sapiens";"167";"195";"9606";"False"
"5.7";"47.6";"30.2";"28.8758";"63.0";"885";"CHEMBL2321645";"Histone-lysine N-methyltransferase SUV420H1";"Q4FZB7";"SINGLE PROTEIN";"Homo sapiens";"36";"37";"9606";"False"
"2.5";"40.0";"20.0";"30.0314";"66.0";"768";"CHEMBL2111322";"Phosphodiesterase 1";"Q63421|Q9EPR9|Q01066";"PROTEIN FAMILY";"Rattus norvegicus";"102";"126";"10116";"False"
"3.1";"38.5";"26.2";"29.6462";"65.0";"561";"CHEMBL1907610";"Adrenergic receptor alpha-1";"P15823|P23944|P43140";"PROTEIN FAMILY";"Rattus norvegicus";"4252";"5548";"10116";"False"
"3.1";"38.5";"26.2";"29.6462";"65.0";"561";"CHEMBL326";"Alpha-1d adrenergic receptor";"P23944";"SINGLE PROTEIN";"Rattus norvegicus";"945";"1475";"10116";"False"
"9.0";"32.6";"24.2";"28.1054";"61.0";"483";"CHEMBL2850";"Glycogen synthase kinase-3 alpha";"P49840";"SINGLE PROTEIN";"Homo sapiens";"2626";"3561";"9606";"False"
"4.5";"41.2";"21.0";"29.261";"64.0";"1512";"CHEMBL1795192";"Cyclin-dependent kinase 13";"Q14004";"SINGLE PROTEIN";"Homo sapiens";"408";"465";"9606";"False"
"3.4";"44.0";"20.0";"29.6462";"65.0";"1298";"CHEMBL6031";"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5";"Q9H9B1";"SINGLE PROTEIN";"Homo sapiens";"186";"331";"9606";"False"
"1.5e-09";"31.2";"24.8";"58.9214";"141.0";"372";"CHEMBL1955709";"Heterogeneous nuclear ribonucleoprotein A1";"P09651";"SINGLE PROTEIN";"Homo sapiens";"3";"8";"9606";"False"
"4.5";"41.2";"21.0";"29.261";"64.0";"1512";"CHEMBL3559691";"Cyclin-dependent kinase";"P06493|P11802|P24941|Q00535|Q00534|P50613|Q00526|Q00536|Q07002|P49336|Q00537|P21127|Q96Q40|Q9BWU1|O94921|P50750|Q15131|Q14004|Q8IZL9|Q9NYV4";"PROTEIN FAMILY";"Homo sapiens";"37";"76";"9606";"False"
"3.1";"38.5";"26.2";"29.6462";"65.0";"561";"CHEMBL2097171";"Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1";"P15823|P23944|P43140|P19327";"SELECTIVITY GROUP";"Rattus norvegicus";"191";"211";"10116";"False"
