Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
SQSTM1	Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	Homo sapiens (Human)	440
UNC13A	Q9UPW8	UN13A_HUMAN	reviewed	Protein unc-13 homolog A (Munc13-1)	UNC13A KIAA1032	Homo sapiens (Human)	1703
UBQLN2	Q9UHD9	UBQL2_HUMAN	reviewed	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	UBQLN2 N4BP4 PLIC2 HRIHFB2157	Homo sapiens (Human)	624
TP53	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
TBK1	Q9UHD2	TBK1_HUMAN	reviewed	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	Homo sapiens (Human)	729
APOE	P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
RAPH1	Q70E73	RAPH1_HUMAN	reviewed	Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1)	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1	Homo sapiens (Human)	1250
HNRNPA1	P09651	ROA1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	Homo sapiens (Human)	372
ANG	P03950	ANGI_HUMAN	reviewed	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	Homo sapiens (Human)	147
MAPT	P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
TNF	P01375	TNFA_HUMAN	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	Homo sapiens (Human)	233
CARF	Q8N187	CARTF_HUMAN	reviewed	Calcium-responsive transcription factor (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein) (Calcium-response factor) (CaRF) (Testis development protein NYD-SP24)	CARF ALS2CR8	Homo sapiens (Human)	725
CARF	Q9NXV6	CARF_HUMAN	reviewed	CDKN2A-interacting protein (Collaborator of ARF)	CDKN2AIP CARF	Homo sapiens (Human)	580
PFN1	P07737	PROF1_HUMAN	reviewed	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	Homo sapiens (Human)	140
IL6	P05231	IL6_HUMAN	reviewed	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212
MTHFR	P42898	MTHR_HUMAN	reviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	Homo sapiens (Human)	656
TRAK2	O60296	TRAK2_HUMAN	reviewed	Trafficking kinesin-binding protein 2 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 3 protein)	TRAK2 ALS2CR3 KIAA0549	Homo sapiens (Human)	914
SDC1	P18827	SDC1_HUMAN	reviewed	Syndecan-1 (SYND1) (CD antigen CD138)	SDC1 SDC	Homo sapiens (Human)	310
MMP9	P14780	MMP9_HUMAN	reviewed	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9]	MMP9 CLG4B	Homo sapiens (Human)	707
APP	P05067	A4_HUMAN	reviewed	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
HIF1A	Q16665	HIF1A_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8)	HIF1A BHLHE78 MOP1 PASD8	Homo sapiens (Human)	826
PARD3B	Q8TEW8	PAR3L_HUMAN	reviewed	Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein)	PARD3B ALS2CR19 PAR3B PAR3L	Homo sapiens (Human)	1205
HFE	Q30201	HFE_HUMAN	reviewed	Hereditary hemochromatosis protein (HLA-H)	HFE HLAH	Homo sapiens (Human)	348
DISC1	Q9NRI5	DISC1_HUMAN	reviewed	Disrupted in schizophrenia 1 protein	DISC1 KIAA0457	Homo sapiens (Human)	854
AR	P10275	ANDR_HUMAN	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR DHTR NR3C4	Homo sapiens (Human)	920
ABCB1	P08183	MDR1_HUMAN	reviewed	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	Homo sapiens (Human)	1280
IGF1	P05019	IGF1_HUMAN	reviewed	Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C)	IGF1 IBP1	Homo sapiens (Human)	195
VAPB	O95292	VAPB_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	Homo sapiens (Human)	243
NFKB1	P19838	NFKB1_HUMAN	reviewed	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	NFKB1	Homo sapiens (Human)	968
SNCA	P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140
SIGMAR1	Q99720	SGMR1_HUMAN	reviewed	Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1)	SIGMAR1 OPRS1 SRBP AAG8	Homo sapiens (Human)	223
TRPM7	Q96QT4	TRPM7_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)	TRPM7 CHAK1 LTRPC7	Homo sapiens (Human)	1865
LIPC	P11150	LIPC_HUMAN	reviewed	Hepatic triacylglycerol lipase (HL) (Hepatic lipase) (EC 3.1.1.3) (Lipase member C) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A1) (EC 3.1.1.32)	LIPC HTGL	Homo sapiens (Human)	499
CYLD	Q9NQC7	CYLD_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	CYLD CYLD1 KIAA0849 HSPC057	Homo sapiens (Human)	956
MAP3K7	O43318	M3K7_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	606
TMEM237	Q96Q45	TM237_HUMAN	reviewed	Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein)	TMEM237 ALS2CR4	Homo sapiens (Human)	408
PON1	P27169	PON1_HUMAN	reviewed	Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)	PON1 PON	Homo sapiens (Human)	355
TERT	O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
DCTN1	Q14203	DCTN1_HUMAN	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	DCTN1	Homo sapiens (Human)	1278
MATR3	P43243	MATR3_HUMAN	reviewed	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847
IFNG	P01579	IFNG_HUMAN	reviewed	Interferon gamma (IFN-gamma) (Immune interferon)	IFNG	Homo sapiens (Human)	166
TMPRSS2	O15393	TMPS2_HUMAN	reviewed	Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	TMPRSS2 PRSS10	Homo sapiens (Human)	492
PAX3	P23760	PAX3_HUMAN	reviewed	Paired box protein Pax-3 (HuP2)	PAX3 HUP2	Homo sapiens (Human)	479
C2CD6	Q53TS8	C2CD6_HUMAN	reviewed	C2 calcium-dependent domain-containing protein 6 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein)	C2CD6 ALS2CR11	Homo sapiens (Human)	623
PROCR	Q9UNN8	EPCR_HUMAN	reviewed	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	Homo sapiens (Human)	238
STRADB	Q9C0K7	STRAB_HUMAN	reviewed	STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2)	STRADB ALS2CR2 ILPIP PRO1038	Homo sapiens (Human)	418
FLACC1	Q96Q35	FACC1_HUMAN	reviewed	Flagellum-associated coiled-coil domain-containing protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein)	FLACC1 ALS2CR12	Homo sapiens (Human)	445
NFE2L2	Q16236	NF2L2_HUMAN	reviewed	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	Homo sapiens (Human)	605
NIF3L1	Q9GZT8	NIF3L_HUMAN	reviewed	NIF3-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 1 protein)	NIF3L1 ALS2CR1 MDS015 My018	Homo sapiens (Human)	377
NEFH	P12036	NFH_HUMAN	reviewed	Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein)	NEFH KIAA0845 NFH	Homo sapiens (Human)	1026
SELL	P14151	LYAM1_HUMAN	reviewed	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SELL LNHR LYAM1	Homo sapiens (Human)	372
CCL2	P13500	CCL2_HUMAN	reviewed	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)	CCL2 MCP1 SCYA2	Homo sapiens (Human)	99
TFAP2A	P05549	AP2A_HUMAN	reviewed	Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)	TFAP2A AP2TF TFAP2	Homo sapiens (Human)	437
SIRT1	Q96EB6	SIR1_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	Homo sapiens (Human)	747
MMP2	P08253	MMP2_HUMAN	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
CDK15	Q96Q40	CDK15_HUMAN	reviewed	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	CDK15 ALS2CR7 PFTK2	Homo sapiens (Human)	435
NEDD4L	Q96PU5	NED4L_HUMAN	reviewed	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L KIAA0439 NEDL3	Homo sapiens (Human)	975
TRPM8	Q7Z2W7	TRPM8_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8)	TRPM8 LTRPC6 TRPP8	Homo sapiens (Human)	1104
GSTP1	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
MET	P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
MET	Q9NWH9	SLTM_HUMAN	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)	1034
IL17A	Q16552	IL17_HUMAN	reviewed	Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8)	IL17A CTLA8 IL17	Homo sapiens (Human)	155
GSK3B	P49841	GSK3B_HUMAN	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420
ALCAM	Q13740	CD166_HUMAN	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	ALCAM MEMD	Homo sapiens (Human)	583
PARP1	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
NFATC2	Q13469	NFAC2_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	NFATC2 NFAT1 NFATP	Homo sapiens (Human)	925
KIF5A	Q12840	KIF5A_HUMAN	reviewed	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	KIF5A NKHC1	Homo sapiens (Human)	1032
XRCC1	P18887	XRCC1_HUMAN	reviewed	DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)	XRCC1	Homo sapiens (Human)	633
SMARCA2	P51531	SMCA2_HUMAN	reviewed	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SMARCA2 BAF190B BRM SNF2A SNF2L2	Homo sapiens (Human)	1590
HMGB1	P09429	HMGB1_HUMAN	reviewed	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	Homo sapiens (Human)	215
MPP4	Q96JB8	MPP4_HUMAN	reviewed	MAGUK p55 subfamily member 4 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 5 protein) (Discs large homolog 6)	MPP4 ALS2CR5 DLG6	Homo sapiens (Human)	637
LRRK2	Q5S007	LRRK2_HUMAN	reviewed	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	2527
CASP3	P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
EFEMP1	Q12805	FBLN3_HUMAN	reviewed	EGF-containing fibulin-like extracellular matrix protein 1 (Extracellular protein S1-5) (Fibrillin-like protein) (Fibulin-3) (FIBL-3)	EFEMP1 FBLN3 FBNL	Homo sapiens (Human)	493
AGER	Q15109	RAGE_HUMAN	reviewed	Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE	Homo sapiens (Human)	404
NBEAL1	Q6ZS30	NBEL1_HUMAN	reviewed	Neurobeachin-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein)	NBEAL1 ALS2CR16 ALS2CR17	Homo sapiens (Human)	2694
TIAM1	Q13009	TIAM1_HUMAN	reviewed	Rho guanine nucleotide exchange factor TIAM1 (T-lymphoma invasion and metastasis-inducing protein 1) (TIAM-1)	TIAM1	Homo sapiens (Human)	1591
ABCG1	P45844	ABCG1_HUMAN	reviewed	ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)	ABCG1 ABC8 WHT1	Homo sapiens (Human)	678
NLRP3	Q96P20	NLRP3_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	Homo sapiens (Human)	1036
FAM117B	Q6P1L5	F117B_HUMAN	reviewed	Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein)	FAM117B ALS2CR13	Homo sapiens (Human)	589
RPS6KA1	Q15418	KS6A1_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)	735
CST3	P01034	CYTC_HUMAN	reviewed	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	Homo sapiens (Human)	146
IGF1R	P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367
TIA1	P31483	TIA1_HUMAN	reviewed	Nucleolysin TIA-1 isoform p40 (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	TIA1	Homo sapiens (Human)	386
ATXN1	P54253	ATX1_HUMAN	reviewed	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	ATXN1 ATX1 SCA1	Homo sapiens (Human)	815
FTO	Q9C0B1	FTO_HUMAN	reviewed	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752	Homo sapiens (Human)	505
TUBA4A	P68366	TBA4A_HUMAN	reviewed	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448
GRN	P28799	GRN_HUMAN	reviewed	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	GRN	Homo sapiens (Human)	593
CHCHD10	Q8WYQ3	CHC10_HUMAN	reviewed	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial (Protein N27C7-4)	CHCHD10 C22orf16	Homo sapiens (Human)	142
LCN2	P80188	NGAL_HUMAN	reviewed	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)	LCN2 HNL NGAL	Homo sapiens (Human)	198
ABCG2	Q9UNQ0	ABCG2_HUMAN	reviewed	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
EPB41	P11171	EPB41_HUMAN	reviewed	Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1)	EPB41 E41P	Homo sapiens (Human)	864
LMNA	P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
