organism,pref_name,target_type,gene_target
Mus musculus,TP53-binding protein 1,SINGLE PROTEIN,TP53
Homo sapiens,"Fructose-2,6-bisphosphatase TIGAR",SINGLE PROTEIN,TP53
Homo sapiens,Serine/threonine-protein kinase TBK1,SINGLE PROTEIN,TBK1
Homo sapiens,Tau-tubulin kinase 1,SINGLE PROTEIN,TBK1
Mus musculus,Serine/threonine-protein kinase TBK1,SINGLE PROTEIN,TBK1
Homo sapiens,IKK epsilon/TBK1,PROTEIN COMPLEX,TBK1
Mus musculus,TBK1/IKBKE,PROTEIN FAMILY,TBK1
Homo sapiens,von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase TBK1,PROTEIN-PROTEIN INTERACTION,TBK1
Homo sapiens,TANK-binding kinase 1-binding protein 1,SINGLE PROTEIN,TBK1
Homo sapiens,Protein cereblon/Serine/threonine-protein kinase TBK1,PROTEIN-PROTEIN INTERACTION,TBK1
Homo sapiens,Prolow-density lipoprotein receptor-related protein 1,SINGLE PROTEIN,APOE
Homo sapiens,Heterogeneous nuclear ribonucleoprotein A1,SINGLE PROTEIN,HNRNPA1
Homo sapiens,Plasminogen,SINGLE PROTEIN,ANG
Homo sapiens,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Homo sapiens,Type-1 angiotensin II receptor,SINGLE PROTEIN,ANG
Rattus norvegicus,Angiotensin II type 2 (AT-2) receptor,SINGLE PROTEIN,ANG
Rattus norvegicus,Type-1B angiotensin II receptor,SINGLE PROTEIN,ANG
Homo sapiens,Lysosomal Pro-X carboxypeptidase,SINGLE PROTEIN,ANG
Oryctolagus cuniculus,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Oryctolagus cuniculus,Sodium/hydrogen exchanger 1,SINGLE PROTEIN,ANG
Oryctolagus cuniculus,Sodium/hydrogen exchanger 2,SINGLE PROTEIN,ANG
Homo sapiens,Angiotensin II type 2 (AT-2) receptor,SINGLE PROTEIN,ANG
Rattus norvegicus,Apelin receptor,SINGLE PROTEIN,ANG
Homo sapiens,Sodium/calcium exchanger 1,SINGLE PROTEIN,ANG
Homo sapiens,Sodium/hydrogen exchanger 1,SINGLE PROTEIN,ANG
Rattus norvegicus,Sodium/hydrogen exchanger 1,SINGLE PROTEIN,ANG
Homo sapiens,Sodium/hydrogen exchanger 2,SINGLE PROTEIN,ANG
Homo sapiens,Renin,SINGLE PROTEIN,ANG
Mus musculus,Renin,SINGLE PROTEIN,ANG
Homo sapiens,Sialidase 3,SINGLE PROTEIN,ANG
Rattus norvegicus,RAS guanyl releasing protein 1,SINGLE PROTEIN,ANG
Homo sapiens,Angiotensin-converting enzyme 2,SINGLE PROTEIN,ANG
Rattus norvegicus,Renin,SINGLE PROTEIN,ANG
Mus musculus,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Rattus norvegicus,Angiotensin-converting enzyme-related carboxypeptidase,SINGLE PROTEIN,ANG
Rattus norvegicus,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Homo sapiens,Sodium/hydrogen exchanger 3,SINGLE PROTEIN,ANG
Homo sapiens,Sodium/hydrogen exchanger 5,SINGLE PROTEIN,ANG
Bos taurus,Angiotensin II type 1a (AT-1a) receptor,SINGLE PROTEIN,ANG
Rattus norvegicus,Type-1A angiotensin II receptor,SINGLE PROTEIN,ANG
Rattus norvegicus,Plasminogen,SINGLE PROTEIN,ANG
Homo sapiens,Tyrosine-protein kinase TIE-2,SINGLE PROTEIN,ANG
Homo sapiens,Rho/Rac guanine nucleotide exchange factor,SINGLE PROTEIN,ANG
Oryctolagus cuniculus,Angiotensin II type 1a (AT-1a) receptor,SINGLE PROTEIN,ANG
Sus scrofa,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Homo sapiens,Serine-protein kinase ATM,SINGLE PROTEIN,ANG
Homo sapiens,Serine-protein kinase ATR,SINGLE PROTEIN,ANG
Homo sapiens,RAS guanyl releasing protein 3,SINGLE PROTEIN,ANG
Cavia porcellus,Sodium/calcium exchanger 1,SINGLE PROTEIN,ANG
Mus musculus,Tyrosine-protein kinase TIE-2,SINGLE PROTEIN,ANG
Amphiuma tridactylum,Sodium/hydrogen exchanger,SINGLE PROTEIN,ANG
Homo sapiens,Ras-specific guanine nucleotide-releasing factor 1,SINGLE PROTEIN,ANG
Pseudopleuronectes americanus,Sodium/hydrogen exchanger,SINGLE PROTEIN,ANG
Mus musculus,Type-1A angiotensin II receptor,SINGLE PROTEIN,ANG
Sus scrofa,Type-1 angiotensin II receptor,SINGLE PROTEIN,ANG
Homo sapiens,Angiogenin,SINGLE PROTEIN,ANG
Callithrix jacchus,Renin,SINGLE PROTEIN,ANG
Saccharomyces cerevisiae S288c,Hsp70 nucleotide exchange factor FES1,SINGLE PROTEIN,ANG
Homo sapiens,Cytohesin-2,SINGLE PROTEIN,ANG
Homo sapiens,Delta(14)-sterol reductase,SINGLE PROTEIN,ANG
Homo sapiens,RAS guanyl-releasing protein 1,SINGLE PROTEIN,ANG
Homo sapiens,Solute carrier family 22 member 12,SINGLE PROTEIN,ANG
Mus musculus,Plasminogen,SINGLE PROTEIN,ANG
Rattus norvegicus,Solute carrier family 22 member 12,SINGLE PROTEIN,ANG
Rattus norvegicus,Microtubule-associated protein tau,SINGLE PROTEIN,ANG
Sus scrofa,Angiotensin type II receptor,SINGLE PROTEIN,ANG
Macaca mulatta,Renin,SINGLE PROTEIN,ANG
Homo sapiens,Microtubule-associated protein tau,SINGLE PROTEIN,ANG
Homo sapiens,Relaxin-3 receptor 1,SINGLE PROTEIN,ANG
Homo sapiens,Apelin receptor,SINGLE PROTEIN,ANG
Cavia porcellus,Type-1 angiotensin II receptor,SINGLE PROTEIN,ANG
Homo sapiens,"NACHT, LRR and PYD domains-containing protein 3",SINGLE PROTEIN,ANG
Homo sapiens,Rap guanine nucleotide exchange factor 3,SINGLE PROTEIN,ANG
Homo sapiens,Rap guanine nucleotide exchange factor 4,SINGLE PROTEIN,ANG
Macaca fascicularis,Renin,SINGLE PROTEIN,ANG
Rattus norvegicus,Angiotensin II receptor,PROTEIN FAMILY,ANG
Rattus norvegicus,Angiotensin II receptor (AT-1) type-1,PROTEIN FAMILY,ANG
Homo sapiens,Angiotensin II receptor,PROTEIN FAMILY,ANG
Oryctolagus cuniculus,Sodium/hydrogen exchanger,PROTEIN FAMILY,ANG
Homo sapiens,Angiotensin-converting enzyme,PROTEIN FAMILY,ANG
Homo sapiens,Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2),SELECTIVITY GROUP,ANG
Homo sapiens,C-type lectin domain family 4 member K,SINGLE PROTEIN,ANG
Homo sapiens,H(+)/Cl(-) exchange transporter 3,SINGLE PROTEIN,ANG
Homo sapiens,Angiopoietin-1,SINGLE PROTEIN,ANG
Homo sapiens,Glucose-6-phosphate translocase,SINGLE PROTEIN,ANG
Homo sapiens,T-lymphoma invasion and metastasis-inducing protein 1,SINGLE PROTEIN,ANG
Homo sapiens,Ras-related C3 botulinum toxin substrate 1/T-lymphoma invasion and metastasis-inducing protein 1,PROTEIN-PROTEIN INTERACTION,ANG
Homo sapiens,Angiomotin,SINGLE PROTEIN,ANG
Escherichia coli (strain K12),Thiol:disulfide interchange protein DsbA,SINGLE PROTEIN,ANG
Homo sapiens,Angiopoietin-2,SINGLE PROTEIN,ANG
Mus musculus,Rap guanine nucleotide exchange factor 4,SINGLE PROTEIN,ANG
Homo sapiens,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",SINGLE PROTEIN,ANG
Homo sapiens,Angiotensinogen,SINGLE PROTEIN,ANG
Rattus norvegicus,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",SINGLE PROTEIN,ANG
Bos taurus,Microtubule-associated protein tau,SINGLE PROTEIN,ANG
Homo sapiens,Angiopoietin-related protein 3,SINGLE PROTEIN,ANG
Homo sapiens,Ecto-NOX disulfide-thiol exchanger 2,SINGLE PROTEIN,ANG
Homo sapiens,"Sodium/potassium/calcium exchanger 6, mitochondrial",SINGLE PROTEIN,ANG
Rattus norvegicus,Sodium/hydrogen exchanger 3,SINGLE PROTEIN,ANG
Sus scrofa,Sodium/hydrogen exchanger isoform 3,SINGLE PROTEIN,ANG
Mus musculus,Plasminogen/Urokinase plasminogen activator surface receptor/Urokinase-type plasminogen activator,PROTEIN-PROTEIN INTERACTION,ANG
Homo sapiens,Serine-protein kinase ATM/ATR,PROTEIN FAMILY,ANG
Rattus norvegicus,Sodium/hydrogen exchanger 2,SINGLE PROTEIN,ANG
Homo sapiens,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,SINGLE PROTEIN,ANG
Homo sapiens,ATR/ATRIP,PROTEIN COMPLEX,ANG
Mus musculus,Sialidase NEU3/NEU4,PROTEIN FAMILY,ANG
Homo sapiens,Neuroepithelial cell-transforming gene 1 protein,SINGLE PROTEIN,ANG
Homo sapiens,Rho guanine nucleotide exchange factor 1,SINGLE PROTEIN,ANG
Homo sapiens,Translation initiation factor eIF-2B subunit gamma,SINGLE PROTEIN,ANG
Mus musculus,Sialidase 2/3/4,PROTEIN FAMILY,ANG
Homo sapiens,APC/Asef,PROTEIN COMPLEX,ANG
Homo sapiens,KEAP1/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,ANG
Homo sapiens,KEAP1/Cullin-3/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,ANG
Homo sapiens,Cullin-3/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,ANG
Mus musculus,Microtubule-associated protein tau,SINGLE PROTEIN,ANG
Homo sapiens,PH and SEC7 domain-containing protein 1,SINGLE PROTEIN,ANG
Sus scrofa,Angiotensin-converting enzyme,SINGLE PROTEIN,ANG
Homo sapiens,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SINGLE PROTEIN,ANG
Mus musculus,Band 3 anion transport protein,SINGLE PROTEIN,ANG
Homo sapiens,Chloride anion exchanger,SINGLE PROTEIN,ANG
Mus musculus,PH and SEC7 domain-containing protein 1,SINGLE PROTEIN,ANG
Homo sapiens,Angiopoietin-like protein 8,SINGLE PROTEIN,ANG
Homo sapiens,Solute carrier family 26 member 9,SINGLE PROTEIN,ANG
Mus musculus,Solute carrier family 26 member 6,SINGLE PROTEIN,ANG
Homo sapiens,Rho guanine nucleotide exchange factor 12,SINGLE PROTEIN,ANG
Mus musculus,Chloride anion exchanger,SINGLE PROTEIN,ANG
Homo sapiens,Relaxin-3 receptor 1/2,PROTEIN FAMILY,ANG
Homo sapiens,Rho GEF 11/Transforming protein RhoA,PROTEIN COMPLEX,ANG
Homo sapiens,A-kinase anchor protein 13/Transforming protein RhoA,PROTEIN COMPLEX,ANG
Homo sapiens,RhoGEF 1/Transforming protein RhoA,PROTEIN COMPLEX,ANG
Homo sapiens,Rho GEF 12/Transforming protein RhoA,PROTEIN COMPLEX,ANG
Homo sapiens,Guanine nucleotide exchange factor DBS,SINGLE PROTEIN,ANG
Rattus norvegicus,Microtubule-associated protein tau,SINGLE PROTEIN,MAPT
Homo sapiens,Microtubule-associated protein tau,SINGLE PROTEIN,MAPT
Bos taurus,Microtubule-associated protein tau,SINGLE PROTEIN,MAPT
Homo sapiens,KEAP1/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,MAPT
Homo sapiens,KEAP1/Cullin-3/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,MAPT
Homo sapiens,Cullin-3/Microtubule-associated protein tau,PROTEIN-PROTEIN INTERACTION,MAPT
Mus musculus,Microtubule-associated protein tau,SINGLE PROTEIN,MAPT
Homo sapiens,TNF-alpha,SINGLE PROTEIN,TNF
Homo sapiens,TNF-beta,SINGLE PROTEIN,TNF
Rattus norvegicus,ADAM17,SINGLE PROTEIN,TNF
Mus musculus,TNF-alpha,SINGLE PROTEIN,TNF
Homo sapiens,Low affinity neurotrophin receptor p75NTR,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor R1,SINGLE PROTEIN,TNF
Homo sapiens,ADAM17,SINGLE PROTEIN,TNF
Homo sapiens,TRAIL receptor-1,SINGLE PROTEIN,TNF
Sus scrofa,ADAM17,SINGLE PROTEIN,TNF
Mus musculus,ADAM17,SINGLE PROTEIN,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 3,SINGLE PROTEIN,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 2,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 6,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 10,SINGLE PROTEIN,TNF
Homo sapiens,"Heat shock protein 75 kDa, mitochondrial",SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 10B,SINGLE PROTEIN,TNF
Mus musculus,Tumor necrosis factor receptor superfamily member 17,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 1B,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 5,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 3,SINGLE PROTEIN,TNF
Homo sapiens,Tyrosyl-DNA phosphodiesterase 2,SINGLE PROTEIN,TNF
Homo sapiens,Complex of retinoic acid binding (CRABPII) and inhibitor of apoptosis (cIAP1) proteins,PROTEIN COMPLEX,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 13B,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 8,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 11,SINGLE PROTEIN,TNF
Rattus norvegicus,Tumor necrosis factor receptor superfamily member 6,SINGLE PROTEIN,TNF
Homo sapiens,cIAP1/cIAP2,PROTEIN FAMILY,TNF
Homo sapiens,CD40 ligand,SINGLE PROTEIN,TNF
Homo sapiens,TNF receptor-associated factor 6,SINGLE PROTEIN,TNF
Mus musculus,Tumor necrosis factor ligand superfamily member 11,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 12A,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 9,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 4,SINGLE PROTEIN,TNF
Homo sapiens,CD70 antigen,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 14,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 18,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 12,SINGLE PROTEIN,TNF
Homo sapiens,CD27 antigen,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor ligand superfamily member 13,SINGLE PROTEIN,TNF
Mus musculus,Tyrosyl-DNA phosphodiesterase 2,SINGLE PROTEIN,TNF
Danio rerio,Tyrosyl-DNA phosphodiesterase 2,SINGLE PROTEIN,TNF
Homo sapiens,Heterotrimeric lymphotoxin LTa1b2,PROTEIN COMPLEX,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 2/Estrogen receptor,PROTEIN COMPLEX,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 3/Mucosa-associated lymphoid tissue lymphoma translocation protein 1,CHIMERIC PROTEIN,TNF
Homo sapiens,PAC1-PAC2 complex,PROTEIN COMPLEX,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 4,SINGLE PROTEIN,TNF
Homo sapiens,MAC1-CD40L,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,CD40-CD40L,PROTEIN-PROTEIN INTERACTION,TNF
Mus musculus,Tumor necrosis factor ligand superfamily member 11/11A,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,Androgen receptor/Baculoviral IAP repeat-containing protein 2,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 2/BCR/ABL,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 3/Huntingtin,PROTEIN-PROTEIN INTERACTION,TNF
Rattus norvegicus,Receptor (TNFRSF)-interacting serine-threonine kinase 1 (Predicted),SINGLE PROTEIN,TNF
Rattus norvegicus,Tumor necrosis factor receptor superfamily member 16,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor alpha-induced protein 3,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 6,SINGLE PROTEIN,TNF
Mus musculus,Tumor necrosis factor receptor superfamily member 16,SINGLE PROTEIN,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 17,SINGLE PROTEIN,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 2/Cyclin-dependent kinase 4,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,Baculoviral IAP repeat-containing protein 2/Cyclin-dependent kinase 6,PROTEIN-PROTEIN INTERACTION,TNF
Homo sapiens,Tumor necrosis factor receptor superfamily member 13C,SINGLE PROTEIN,TNF
Rattus norvegicus,Interleukin-6 receptor alpha chain,SINGLE PROTEIN,IL6
Homo sapiens,Interleukin-6,SINGLE PROTEIN,IL6
Homo sapiens,Interleukin-6 receptor alpha subunit,SINGLE PROTEIN,IL6
Homo sapiens,Interleukin-6 receptor subunit beta,SINGLE PROTEIN,IL6
Homo sapiens,IL6Ralpha/GP130,PROTEIN-PROTEIN INTERACTION,IL6
Homo sapiens,LIFR/GP130,PROTEIN-PROTEIN INTERACTION,IL6
Homo sapiens,Syndecan-1,SINGLE PROTEIN,SDC1
Homo sapiens,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",SINGLE PROTEIN,SDC1
Rattus norvegicus,Matrix metalloproteinase 9,SINGLE PROTEIN,MMP9
Mus musculus,Matrix metalloproteinase 9,SINGLE PROTEIN,MMP9
Homo sapiens,Matrix metalloproteinase 9,SINGLE PROTEIN,MMP9
Bos taurus,Matrix metalloproteinase-9,SINGLE PROTEIN,MMP9
Homo sapiens,Collagenase,PROTEIN FAMILY,MMP9
Homo sapiens,Matrix metalloproteinase 2/9,PROTEIN FAMILY,MMP9
Homo sapiens,MMP-2/MMP-9,SELECTIVITY GROUP,MMP9
Homo sapiens,Kappa opioid receptor,SINGLE PROTEIN,APP
Homo sapiens,Nociceptin receptor,SINGLE PROTEIN,APP
Mus musculus,Kappa opioid receptor,SINGLE PROTEIN,APP
Homo sapiens,Cathepsin B,SINGLE PROTEIN,APP
Rattus norvegicus,Kappa opioid receptor,SINGLE PROTEIN,APP
Mus musculus,Nociceptin receptor,SINGLE PROTEIN,APP
Homo sapiens,Beta amyloid A4 protein,SINGLE PROTEIN,APP
Homo sapiens,Beta secretase 2,SINGLE PROTEIN,APP
Homo sapiens,Inhibitor of nuclear factor kappa B kinase alpha subunit,SINGLE PROTEIN,APP
Homo sapiens,Inhibitor of nuclear factor kappa B kinase beta subunit,SINGLE PROTEIN,APP
Homo sapiens,Xaa-Pro aminopeptidase 2,SINGLE PROTEIN,APP
Homo sapiens,Nuclear factor NF-kappa-B p105 subunit,SINGLE PROTEIN,APP
Homo sapiens,NF-kappa-B-repressing factor,SINGLE PROTEIN,APP
Rattus norvegicus,Xaa-Pro aminopeptidase 2,SINGLE PROTEIN,APP
Homo sapiens,Nuclear factor NF-kappa-B p100/p49 subunits,SINGLE PROTEIN,APP
Homo sapiens,Beta-secretase 1,SINGLE PROTEIN,APP
Rattus norvegicus,Beta-galactosidase,SINGLE PROTEIN,APP
Homo sapiens,NF-kappaB inhibitor alpha,SINGLE PROTEIN,APP
Homo sapiens,Inhibitor of nuclear factor kappa B kinase epsilon subunit,SINGLE PROTEIN,APP
Rattus norvegicus,Nociceptin receptor,SINGLE PROTEIN,APP
Homo sapiens,Glutathione S-transferase kappa 1,SINGLE PROTEIN,APP
Cavia porcellus,Kappa opioid receptor,SINGLE PROTEIN,APP
Sus scrofa,Kappa opioid receptor,SINGLE PROTEIN,APP
Homo sapiens,NF-kappa-B essential modulator,SINGLE PROTEIN,APP
Homo sapiens,Nuclear factor NF-kappa-B p65 subunit,SINGLE PROTEIN,APP
Mus musculus,Beta-secretase 1,SINGLE PROTEIN,APP
Homo sapiens,Serine/threonine-protein kinase TBK1,SINGLE PROTEIN,APP
Cavia porcellus,Nociceptin receptor,SINGLE PROTEIN,APP
Homo sapiens,DNA polymerase kappa,SINGLE PROTEIN,APP
Homo sapiens,DNA polymerase lambda,SINGLE PROTEIN,APP
Homo sapiens,Polyadenylate-binding protein 4,SINGLE PROTEIN,APP
Mus musculus,Inhibitor of nuclear factor kappa-B kinase subunit alpha,SINGLE PROTEIN,APP
Homo sapiens,Mitogen-activated protein kinase kinase kinase 14,SINGLE PROTEIN,APP
Mus musculus,Inhibitor of nuclear factor kappa-B kinase subunit beta,SINGLE PROTEIN,APP
Mus musculus,Transcription factor p65,SINGLE PROTEIN,APP
Homo sapiens,Endoplasmic reticulum aminopeptidase 1,SINGLE PROTEIN,APP
Homo sapiens,Islet amyloid polypeptide,SINGLE PROTEIN,APP
Mus musculus,NF-kappa-B inhibitor alpha,SINGLE PROTEIN,APP
Homo sapiens,Scavenger mRNA-decapping enzyme DcpS,SINGLE PROTEIN,APP
Mus musculus,Nuclear factor NF-kappa-B p105 subunit,SINGLE PROTEIN,APP
Homo sapiens,NEDD8-activating enzyme E1 regulatory subunit,SINGLE PROTEIN,APP
Rattus norvegicus,Hydroxyacid oxidase 1,SINGLE PROTEIN,APP
Rattus norvegicus,Opioid receptor,PROTEIN FAMILY,APP
Homo sapiens,Nuclear factor NF-kappa-B complex,PROTEIN COMPLEX GROUP,APP
Homo sapiens,Opioid receptors; delta & kappa,SELECTIVITY GROUP,APP
Homo sapiens,Opioid receptors; mu & kappa,SELECTIVITY GROUP,APP
Homo sapiens,Opioid receptors; mu/kappa/delta,PROTEIN FAMILY,APP
Mus musculus,Opioid receptor,PROTEIN FAMILY,APP
Rattus norvegicus,Pyruvate dehydrogenase kinase,PROTEIN FAMILY,APP
Cavia porcellus,Opioid receptor (mu and kappa),SELECTIVITY GROUP,APP
Homo sapiens,Inhibitor of NF-kappa-B kinase (IKK),PROTEIN COMPLEX,APP
Homo sapiens,Beta-secretase (BACE),PROTEIN FAMILY,APP
Homo sapiens,Cathepsin (B and K),SELECTIVITY GROUP,APP
Rattus norvegicus,Beta-secretase 2,SINGLE PROTEIN,APP
Homo sapiens,Tumor necrosis factor ligand superfamily member 11,SINGLE PROTEIN,APP
Homo sapiens,IKK epsilon/TBK1,PROTEIN COMPLEX,APP
Rattus norvegicus,Nociceptin/mu opioid receptor,PROTEIN FAMILY,APP
Cavia porcellus,mu/kappa opioid receptor,PROTEIN FAMILY,APP
Cricetulus griseus,Kappa-type opioid receptor,SINGLE PROTEIN,APP
Mus musculus,DNA polymerase lambda,SINGLE PROTEIN,APP
Rattus norvegicus,Beta-secretase 1,SINGLE PROTEIN,APP
Mus musculus,Endoplasmic reticulum aminopeptidase 1,SINGLE PROTEIN,APP
Mus musculus,Tumor necrosis factor ligand superfamily member 11,SINGLE PROTEIN,APP
Homo sapiens,Kappa-casein,SINGLE PROTEIN,APP
